indicator,value,unit,year,geography,source_name,source_url,table_or_page
live_births,4856,count,2023,Charleston County,SC DPH Vital Metrics Summary,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-25/C-1
live_births,5094,count,2024,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?reg=45019&top=2&stop=1&lev=3&slev=1&obj=1,Births
fertility_rate_per_1000_women_15_44,56.2,rate,2024,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?reg=45019&top=2&stop=1&lev=3&slev=1&obj=1,Births
births_pct_white_nh,59.8,percent,2022-2024 avg,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?reg=45019&top=2&stop=1&lev=3&slev=1&obj=1,Race distribution
births_pct_black,19.9,percent,2022-2024 avg,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?reg=45019&top=2&stop=1&lev=3&slev=1&obj=1,Race distribution
births_pct_hispanic,15.8,percent,2022-2024 avg,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?reg=45019&top=2&stop=1&lev=3&slev=1&obj=1,Race/ethnicity
preterm_birth_pct,10.5,percent,2024,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?creg=45019&top=3&stop=60,Preterm birth
preterm_birth_count,537,count,2024,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?creg=45019&top=3&stop=60,Preterm birth
preterm_report_card_grade,D+,grade,2024,Charleston County,March of Dimes Report Card,https://www.marchofdimes.org/peristats/reports/south-carolina/report-card,County grades
very_preterm_pct,1.6,percent,2024,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?creg=45019&top=3&stop=55,Gestational age
moderately_preterm_pct,9.0,percent,2024,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?creg=45019&top=3&stop=55,Gestational age
low_birthweight_pct,9.1,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-27
low_birthweight_count,442,count,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-27
lbw_pct_white_nh,6.1,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-27
lbw_pct_black,17.3,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-27
lbw_pct_hispanic,8.0,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-27
lbw_pct_mod_periStats,9.2,percent,2024,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?creg=45019&top=4&stop=75,Birthweight
